neighbourhood_name,species_name,n,total_count,proportion
ARBUTUS-RIDGE,CERASIFERA,895,5169,0.1731476107564326
DOWNTOWN,RUBRUM,1019,5159,0.19751889901143632
DUNBAR-SOUTHLANDS,PLATANOIDES,1165,9415,0.12373871481678173
FAIRVIEW,RUBRUM,567,4002,0.14167916041979012
GRANDVIEW-WOODLAND,SERRULATA,583,6703,0.0869759809040728
HASTINGS-SUNRISE,CERASIFERA,972,10547,0.09215890774627856
KENSINGTON-CEDAR COTTAGE,SERRULATA,1002,11042,0.09074443035681942
KERRISDALE,PLATANOIDES,1067,6936,0.15383506343713957
KILLARNEY,EUCHLORA   X,676,6148,0.1099544567338972
KITSILANO,PLATANOIDES,1188,8115,0.14639556377079482
MARPOLE,SERRULATA,799,6353,0.12576735400598144
MOUNT PLEASANT,SERRULATA,948,6292,0.15066751430387795
OAKRIDGE,SERRULATA,726,4796,0.15137614678899083
RENFREW-COLLINGWOOD,SERRULATA,980,11386,0.08607061303354997
RILEY PARK,SERRULATA,822,6870,0.11965065502183406
SHAUGHNESSY,PLATANOIDES,1139,7009,0.16250535026394636
SOUTH CAMBIE,SERRULATA,329,3343,0.09841459766676637
STRATHCONA,SYLVATICA,247,2724,0.09067547723935389
SUNSET,CERASIFERA,928,8367,0.1109119158599259
VICTORIA-FRASERVIEW,CERASIFERA,1241,7789,0.15932725638721273
WEST END,SERRULATA,385,3507,0.10978043912175649
WEST POINT GREY,PLATANOIDES,700,4939,0.14172909495849362
